#,Database Field Name,Type,Len,Format,Label,Comment,rev: 2019
1,CRASH_ID,Num,8,11,"Crash ID  (internal, auto-generated unique identifying number)","See ReadMe_rev_07-2009 file, Part IV-A",
2,SER_NO,Char,5,5,DMV Crash Serial Number,,
3,CRASH_DT,Num,8,DATETIME19.,Crash Date,,
4,CRASH_MO_NO,Char,2,2,Crash Month Number,,
5,CRASH_DAY_NO,Char,2,2,Crash Day Number,,
6,CRASH_YR_NO,Char,4,4,Crash Year Number,,
7,CRASH_WK_DAY_CD,Char,1,1,Crash Day of Week Code,,
8,CRASH_HR_NO,Char,2,2,Crash Hour Code,,
9,CRASH_HR_SHORT_DESC,Char,3,3,Crash Hour Short Description,,
10,CNTY_ID,Char,2,2,County ID,,
11,CNTY_NM,Char,50,50,County Name,,
12,CITY_SECT_ID,Num,8,6,City Section ID,,
13,CITY_SECT_NM,Char,25,25,City Section Name,,
14,URB_AREA_CD,Num,8,4,Urban Area Code,,
15,URB_AREA_SHORT_NM,Char,15,15,Urban Area Short Name,,
16,FC_CD,Char,2,2,Functional Classification Code,,
17,FC_SHORT_DESC,Char,8,8,Functional Classification Short Description,,
18,NHS_FLG,Num,8,2,NHS Flag,,
19,HWY_NO,Char,3,3,Highway Number,,
20,HWY_SFX_NO,Char,2,2,Highway Suffix Number,Placeholder field.  Contains 2 spaces.,
21,HWY_MED_NM,Char,30,30,Highway Medium Name,Medium-length version of Highway Name,
22,RDWY_NO,Char,1,1,Roadway Number (only state hwy),,
23,HWY_COMPNT_CD,Char,1,1,Highway Component Code,,
24,HWY_COMPNT_SHORT_DESC,Char,2,2,Highway Component Short Description,,
25,MLGE_TYP_CD,Char,1,1,Mileage Type Code,,
26,MLGE_TYP_SHORT_DESC,Char,1,1,Mileage Type Short Description,,
27,RD_CON_NO,Char,1,1,Connection Number (Ramp / Over-head Connection on State Highway System),,
28,LRS_VAL,Char,20,20,Linear Reference System Value,,
29,LAT_DEG_NO,Num,2,6,Latitude (Deg),,
30,LAT_MINUTE_NO,Num,2,6,Latitude (Min),,
31,LAT_SEC_NO,Num,8,,Latitude (Sec),,
32,LONGTD_DEG_NO,Num,3,6,Longitude (Deg),,
33,LONGTD_MINUTE_NO,Num,2,6,Longitude (Min),,
34,LONGTD_SEC_NO,Num,8,,Longitude (Sec),,
35,LAT_DD,Num,,Decimal,n/a  (only available from MS Access decode Crash table),,
36,LONGTD_DD,Num,,Decimal,n/a  (only available from MS Access decode Crash table),,
37,SPECL_JRSDCT_ID,Char,2,2,Special Jurisdiction ID (Recreational Areas),,
38,SPECL_JRSDCT_SHORT_DESC,Char,10,10,Special Jurisdiction Short Description,,
39,JRSDCT_GRP_CD,Char,2,2,Jurisdiction Group Code,,
40,JRSDCT_GRP_SHORT_DESC,Char,3,3,Jurisdiction Group Short Description,,
41,AGY_ST_NO,Char,15,15,Agency Street Number,,
42,ST_FULL_NM,Char,28,28,Street Full Name,,
43,RECRE_RD_NM,Char,15,15,Recreational Road Name,,
44,ISECT_AGY_ST_NO,Char,15,15,Intersecting Agency Street Number,,
45,ISECT_ST_FULL_NM,Char,28,28,Intersecting Street Full Name,,
46,ISECT_RECRE_RD_NM,Char,15,15,Intersecting Recreational Road Name,,
47,ISECT_SEQ_NO,Int,Auto,,Intersection Sequence Number,"Default = '1'.  For streets that intersect multiple times, indicates which intersection (1st, 2nd, etc.), with 1 being the southern- or western-most.",
48,FROM_ISECT_DSTNC_QTY,Num,8,6,Distance from Nearest Intersection Code,,
49,CMPSS_DIR_CD,Char,1,1,Compass Direction Code,,
50,MP_NO,Num,9,,Milepoint Number,,
51,POST_SPEED_LMT_VAL,Char,2,2,Posted Speed Limit Value,,
52,RD_CHAR_CD,Char,1,1,Road Character Code,,
53,RD_CHAR_SHORT_DESC,Char,8,8,Road Character Short Description,,
